"ASV","species","genus","family","order","class","phylum","kingdom","seq_percID","diff","taxonomic_level","taxon"
"ASV19","Anoplarchus_purpurescens","Anoplarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Anoplarchus"
"ASV193","Oncorhynchus_nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota",99.408,0,"species","Oncorhynchus_nerka"
"ASV195","Enophrys_bison","Enophrys","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Enophrys_bison"
"ASV2","Clupea_pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Clupea_pallasii"
"ASV204","Oncorhynchus_tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota",99.412,0,"species","Oncorhynchus_tshawytscha"
"ASV21","Aptocyclus_ventricosus","Aptocyclus","Cyclopteridae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Aptocyclus_ventricosus"
"ASV218","Gadus_chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota",97.059,0,"species","Gadus_chalcogrammus"
"ASV219","Hippoglossus_stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Hippoglossus_stenolepis"
"ASV22","Clupea_pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Clupea_pallasii"
"ASV221","Hexagrammos_lagocephalus","Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.412,0,"genus","Hexagrammos"
"ASV221","Hexagrammos_octogrammus","Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.412,0,"genus","Hexagrammos"
"ASV221","Hexagrammos_stelleri","Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.412,0,"genus","Hexagrammos"
"ASV23","Clupea_pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,0,"species","Clupea_pallasii"
"ASV24","Gadus_chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota",99.412,0,"species","Gadus_chalcogrammus"
"ASV245","Clupea_pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",97.674,0,"species","Clupea_pallasii"
"ASV248","Oncorhynchus_nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota",99.408,0,"species","Oncorhynchus_nerka"
"ASV25","Gadus_chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Gadus_chalcogrammus"
"ASV253","Gadus_chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota",99.408,0,"genus","Gadus"
"ASV253","Gadus_macrocephalus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota",99.408,0,"genus","Gadus"
"ASV259","Gadus_chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota",99.408,0,"genus","Gadus"
"ASV259","Gadus_macrocephalus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota",99.408,0,"genus","Gadus"
"ASV26","Zaprora_silenus","Zaprora","Zaproridae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Zaprora_silenus"
"ASV260","Artedius_lateralis","Artedius","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.415,0,"species","Artedius_lateralis"
"ASV28","Sebastes_ciliatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"ASV28","Sebastes_crameri","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"ASV28","Sebastes_polyspinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"ASV28","Sebastes_reedi","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"ASV28","Sebastes_variabilis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"ASV287","Alces_alces","Alces","Cervidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,0,"species","Alces_alces"
"ASV29","Sebastes_babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Sebastes_babcocki"
"ASV291","Lepidopsetta_bilineata","Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,0,"genus","Lepidopsetta"
"ASV291","Lepidopsetta_polyxystra","Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,0,"genus","Lepidopsetta"
"ASV295","Oncorhynchus_kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota",99.412,0,"species","Oncorhynchus_kisutch"
"ASV3","Oncorhynchus_keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Oncorhynchus_keta"
"ASV303","Pholis_laeta","Pholis","Pholidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"species","Pholis_laeta"
"ASV31","Bathymaster_caeruleofasciatus","Bathymaster","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Bathymaster_caeruleofasciatus"
"ASV32","Glyptocephalus_zachirus","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Glyptocephalus_zachirus"
"ASV321","Ronquilus_jordani","Ronquilus","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota",98.817,0,"species","Ronquilus_jordani"
"ASV325","Platichthys_stellatus","Platichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,0,"species","Platichthys_stellatus"
"ASV326","Microgadus_proximus","Microgadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Microgadus_proximus"
"ASV327","Stenobrachius_leucopsarus","Stenobrachius","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota",97.674,0,"species","Stenobrachius_leucopsarus"
"ASV334","Gasterosteus_aculeatus","Gasterosteus","Gasterosteidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.225,0,"species","Gasterosteus_aculeatus"
"ASV345","Entosphenus_lethophagus","Entosphenus","Petromyzontidae","Petromyzontiformes","Hyperoartia","Chordata","Eukaryota",100,0,"family","Petromyzontidae"
"ASV345","Entosphenus_minimus","Entosphenus","Petromyzontidae","Petromyzontiformes","Hyperoartia","Chordata","Eukaryota",100,0,"family","Petromyzontidae"
"ASV345","Entosphenus_similis","Entosphenus","Petromyzontidae","Petromyzontiformes","Hyperoartia","Chordata","Eukaryota",100,0,"family","Petromyzontidae"
"ASV345","Entosphenus_tridentatus","Entosphenus","Petromyzontidae","Petromyzontiformes","Hyperoartia","Chordata","Eukaryota",100,0,"family","Petromyzontidae"
"ASV345","Lampetra_ayresii","Lampetra","Petromyzontidae","Petromyzontiformes","Hyperoartia","Chordata","Eukaryota",100,0,"family","Petromyzontidae"
"ASV345","Lampetra_richardsoni","Lampetra","Petromyzontidae","Petromyzontiformes","Hyperoartia","Chordata","Eukaryota",100,0,"family","Petromyzontidae"
"ASV35","Leptocottus_armatus","Leptocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",97.633,0,"species","Leptocottus_armatus"
"ASV354","Leptocottus_armatus","Leptocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",97.041,0,"species","Leptocottus_armatus"
"ASV36","Poroclinus_rothrocki","Poroclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Poroclinus_rothrocki"
"ASV375","Ronquilus_jordani","Ronquilus","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,0,"species","Ronquilus_jordani"
"ASV379","Gadus_chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota",98.824,0,"species","Gadus_chalcogrammus"
"ASV38","Thaleichthys_pacificus","Thaleichthys","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Thaleichthys_pacificus"
