"ASV","taxon","taxonomic_level","species","genus","family","order","class","phylum","kingdom"
"ASV704","Acipenser_fulvescens","species","Acipenser_fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Actinopteri","Chordata","Eukaryota"
"ASV715","Gadus_chalcogrammus","species","Gadus_chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV719","Anoplarchus_purpurescens","species","Anoplarchus_purpurescens","Anoplarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV722","Hexagrammos","genus",NA,"Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV724","Ammodytes_hexapterus","species","Ammodytes_hexapterus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota"
"ASV73","Glyptocephalus_zachirus","species","Glyptocephalus_zachirus","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV74","Lumpenella_longirostris","species","Lumpenella_longirostris","Lumpenella","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV75","Sebastolobus","genus",NA,"Sebastolobus","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV753","Oncorhynchus_gorbuscha","species","Oncorhynchus_gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"ASV76","Oncorhynchus_2","genus",NA,"Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"ASV79","Gasterosteus_aculeatus","species","Gasterosteus_aculeatus","Gasterosteus","Gasterosteidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV8","Oncorhynchus_1","genus",NA,"Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"ASV81","Hemilepidotus_jordani","species","Hemilepidotus_jordani","Hemilepidotus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV82","Hexagrammos","genus",NA,"Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV86","Gadus_chalcogrammus","species","Gadus_chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV87","Pholis_laeta","species","Pholis_laeta","Pholis","Pholidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV88","Citharichthys_stigmaeus","species","Citharichthys_stigmaeus","Citharichthys","Cyclopsettidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV89","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV9","Hippoglossoides_elassodon","species","Hippoglossoides_elassodon","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV97","Lepidopsetta","genus",NA,"Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
