"","input","filtered","denoisedF","denoisedR","merged","correct_length","nonchim"
"e02939",41394,40879,40767,40645,40381,40314,39324
"e02940",51127,50503,50371,50129,50040,50040,50040
"e02941",36083,35248,34599,34161,24720,24720,24454
"e02942",59035,58364,58080,56705,56284,56284,53725
"e02943",48420,47890,47766,47368,47187,47187,46785
"e02944",36286,35585,34909,34708,31572,23074,22843
"e02945",18981,18383,18239,18096,17677,17677,16907
"e02946",43965,43346,43082,42685,38911,38911,36600
"e02947",62174,61486,61325,61231,59773,59773,59768
"e02948",92331,91198,91066,91035,90442,90442,90198
"e02949",43256,41291,40678,37234,4675,4496,4496
"e02950",75209,73329,72399,70446,69229,52014,51834
"e02951",48683,48054,47846,47412,47004,47004,46617
"e02952",61972,61055,60879,60583,60315,60315,60315
"e02953",43426,42899,42803,42787,42682,42621,42621
"e02954",38511,37954,37664,36122,35950,35933,35933
"e02955",34445,33495,33000,32204,26367,26367,25758
"e02956",36874,36135,35820,35462,34851,34851,31519
"e02957",44544,43931,43683,43374,42654,42654,38148
"e02958",56436,55776,55612,53887,53674,53674,53674
"e02959",28693,27837,27109,25164,11892,11892,11789
"e02960",45509,44928,44817,44780,44325,44325,44325
"e02961",34044,33396,33201,32936,32671,32671,31974
"e02962",43983,43121,42032,39630,21117,20400,19870
"e02963",55899,55359,55202,54804,54221,54219,50220
"e02964",84066,83112,82938,82866,82082,82082,81887
"e02965",57103,56258,55728,55373,49746,49746,47428
"e02966",41299,40123,39812,34154,4038,4038,4025
"e02967",35801,34634,34387,28967,908,908,899
"e02968",39986,39034,38754,38742,3712,2827,2791
"e02969",34214,33371,32631,31902,13570,13570,13492
"e02970",20083,19594,19495,19224,18982,18982,18450
"e02971",27417,27047,26780,26462,20041,19949,19376
"e02972",38056,36925,36079,34410,19850,19802,19580
"e02973",40745,40025,39093,37931,19754,18614,17931
"e02974",2442,2363,2308,1771,1727,1727,1727
"e05187",16428,16065,16058,15954,15747,15747,15648
"e05188",16717,16482,16464,16380,16199,16199,16199
"e05189",10764,10535,10531,10365,10263,10263,10263
"e05190",17894,17545,17542,17401,17269,17269,16849
"e05191",19288,19148,19142,19129,19093,19093,19093
"e05192",226,208,208,197,184,184,178
"e05193",19547,19223,19219,19118,19005,19005,18571
"e05194",13960,13615,13601,13466,13328,13328,13043
"e05195",20653,20451,20399,20108,19181,19181,17744
"e05196",21782,21493,21471,21162,20701,20701,19510
"e05197",18134,17862,17854,17588,17207,17207,16657
"e05198",14569,14228,14217,14072,14005,14005,13937
"e05199",18914,18742,18732,18710,18621,18621,18589
"e05200",16012,15874,15872,15845,15794,15794,15681
"e05201",18608,18287,18279,18117,17963,17963,17450
"e05202",8493,8314,8307,8190,7895,7895,7623
"e05203",18438,18315,18154,18069,17515,17515,16858
"e05204",18485,18140,18107,17704,17133,17133,16967
"e05205",15107,14788,14785,14628,14534,14534,14534
"e05206",15798,15421,15418,15304,15199,15199,15197
"e05207",23266,23099,23072,22862,22507,22507,21136
"e05208",14793,14549,14543,14401,14194,14194,13965
"e05209",21038,20787,20766,20509,20112,20112,19765
"e05210",18023,17719,17710,17509,17271,17271,16493
"e05211",17152,16976,16970,16776,16634,16634,16533
"e05212",19647,19238,19234,19077,18862,18862,18377
"e05213",22278,21761,21742,21480,21286,21286,21286
